SymInit: Symbol-SearchPath: '.', symOptions: 530, UserName: 'dna11'
OS-Version: 10.0.22621 () 0x100-0x1
M:\VS\pcsx2-emuinterop\bin\pcsx2-qtx64-avx2-dbg.exe:pcsx2-qtx64-avx2-dbg.exe (00007FF6874D0000), size: 387198976 (result: 0), SymType: 'PDB', PDB: 'M:\VS\pcsx2-emuinterop\bin\pcsx2-qtx64-avx2-dbg.pdb', fileVersion: 1.7.0.0
C:\Windows\SYSTEM32\VERSION.dll:VERSION.dll (00007FFCD3B80000), size: 40960 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\VERSION.dll', fileVersion: 10.0.22621.1
C:\Windows\SYSTEM32\D3DCOMPILER_47.dll:D3DCOMPILER_47.dll (00007FFCD6180000), size: 4087808 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\D3DCOMPILER_47.dll', fileVersion: 10.0.22621.608
C:\Windows\SYSTEM32\MSVCP140_2D.dll:MSVCP140_2D.dll (00007FFC02AF0000), size: 393216 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\MSVCP140_2D.dll', fileVersion: 14.34.31938.0
C:\Windows\SYSTEM32\d3d12.dll:d3d12.dll (00007FFCB1CB0000), size: 143360 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\d3d12.dll', fileVersion: 10.0.22621.1635
C:\Windows\SYSTEM32\OPENGL32.dll:OPENGL32.dll (00007FFC2AA90000), size: 1048576 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\OPENGL32.dll', fileVersion: 10.0.22621.1635
C:\Windows\SYSTEM32\WINMM.dll:WINMM.dll (00007FFCD46A0000), size: 212992 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\WINMM.dll', fileVersion: 10.0.22621.1635
C:\Windows\SYSTEM32\AUTHZ.dll:AUTHZ.dll (00007FFCD97F0000), size: 319488 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\AUTHZ.dll', fileVersion: 10.0.22621.1485
C:\Windows\SYSTEM32\NETAPI32.dll:NETAPI32.dll (00007FFCCABD0000), size: 102400 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\NETAPI32.dll', fileVersion: 10.0.22621.674
C:\Windows\SYSTEM32\IPHLPAPI.DLL:IPHLPAPI.DLL (00007FFCD9680000), size: 184320 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\IPHLPAPI.DLL', fileVersion: 10.0.22621.1
C:\Windows\SYSTEM32\DNSAPI.dll:DNSAPI.dll (00007FFCD96B0000), size: 995328 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\DNSAPI.dll', fileVersion: 10.0.22621.1778
C:\Windows\SYSTEM32\WINHTTP.dll:WINHTTP.dll (00007FFCD4510000), size: 1273856 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\WINHTTP.dll', fileVersion: 10.0.22621.1635
C:\Windows\SYSTEM32\Secur32.dll:Secur32.dll (00007FFCBD770000), size: 49152 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\Secur32.dll', fileVersion: 10.0.22621.1
C:\Windows\SYSTEM32\AVRT.dll:AVRT.dll (00007FFCD4BC0000), size: 45056 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\AVRT.dll', fileVersion: 10.0.22621.608
C:\Windows\SYSTEM32\bcrypt.dll:bcrypt.dll (00007FFCDA4E0000), size: 163840 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\bcrypt.dll', fileVersion: 10.0.22621.1992
C:\Windows\SYSTEM32\kernel.appcore.dll:kernel.appcore.dll (00007FFCD9C20000), size: 98304 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\kernel.appcore.dll', fileVersion: 10.0.22621.1
C:\Windows\SYSTEM32\CRYPTSP.dll:CRYPTSP.dll (00007FFCDA3B0000), size: 110592 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\CRYPTSP.dll', fileVersion: 10.0.22621.1
C:\Windows\SYSTEM32\GLU32.dll:GLU32.dll (00007FFC30CD0000), size: 184320 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\GLU32.dll', fileVersion: 10.0.22621.608
C:\Windows\SYSTEM32\SSPICLI.DLL:SSPICLI.DLL (00007FFCD9E80000), size: 270336 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\SSPICLI.DLL', fileVersion: 10.0.22621.1635
C:\Windows\SYSTEM32\dxcore.dll:dxcore.dll (00007FFCD8000000), size: 229376 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\dxcore.dll', fileVersion: 10.0.22621.1778
C:\Windows\SYSTEM32\cfgmgr32.DLL:cfgmgr32.DLL (00007FFCDA820000), size: 319488 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\cfgmgr32.DLL', fileVersion: 10.0.22621.1344
C:\Windows\SYSTEM32\CRYPTBASE.DLL:CRYPTBASE.DLL (00007FFCDA390000), size: 49152 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\CRYPTBASE.DLL', fileVersion: 10.0.22621.1
C:\Windows\SYSTEM32\SRVCLI.DLL:SRVCLI.DLL (00007FFCCA5A0000), size: 167936 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\SRVCLI.DLL', fileVersion: 10.0.22621.1928
C:\Windows\SYSTEM32\NETUTILS.DLL:NETUTILS.DLL (00007FFCD9670000), size: 49152 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\NETUTILS.DLL', fileVersion: 10.0.22621.674
C:\Windows\System32\bcryptPrimitives.dll:bcryptPrimitives.dll (00007FFCDAE00000), size: 499712 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\bcryptPrimitives.dll', fileVersion: 10.0.22621.1928
C:\Windows\System32\NSI.dll:NSI.dll (00007FFCDD070000), size: 36864 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\NSI.dll', fileVersion: 10.0.22621.1
C:\Windows\System32\shcore.dll:shcore.dll (00007FFCDC500000), size: 987136 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\shcore.dll', fileVersion: 10.0.22621.1928
C:\Windows\SYSTEM32\dbghelp.dll:dbghelp.dll (00007FFCD8740000), size: 2285568 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\dbghelp.dll', fileVersion: 10.0.22621.1
C:\Windows\SYSTEM32\windows.storage.dll:windows.storage.dll (00007FFCD8970000), size: 9232384 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\windows.storage.dll', fileVersion: 10.0.22621.1992
C:\Windows\SYSTEM32\wintypes.dll:wintypes.dll (00007FFCD9280000), size: 1302528 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\wintypes.dll', fileVersion: 10.0.22621.1485
C:\Windows\System32\shlwapi.dll:shlwapi.dll (00007FFCDD650000), size: 385024 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\shlwapi.dll', fileVersion: 10.0.22621.1635
C:\Windows\SYSTEM32\profapi.dll:profapi.dll (00007FFCDAA60000), size: 155648 (result: 0), SymType: '-nosymbols-', PDB: 'C:\Windows\SYSTEM32\profapi.dll', fileVersion: 10.0.22621.1928
M:\VS\pcsx2-emuinterop\bin\QtPlugins\platforms\qwindowsd.dll:qwindowsd.dll (00007FFBE1090000), size: 3530752 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\QtPlugins\platforms\qwindowsd.dll', fileVersion: 6.5.0.0
C:\Windows\System32\COMDLG32.dll:COMDLG32.dll (00007FFCDD360000), size: 1011712 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\COMDLG32.dll', fileVersion: 10.0.22621.1344
C:\Windows\SYSTEM32\WTSAPI32.dll:WTSAPI32.dll (00007FFCD7C90000), size: 81920 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\WTSAPI32.dll', fileVersion: 10.0.22621.1
C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.22621.608_none_fb280a3c7926c2cc\COMCTL32.dll:COMCTL32.dll (00007FFCCD590000), size: 733184 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.22621.608_none_fb280a3c7926c2cc\COMCTL32.dll', fileVersion: 5.82.22621.608
C:\Windows\SYSTEM32\d3d9.dll:d3d9.dll (00007FFC9E7C0000), size: 1740800 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\d3d9.dll', fileVersion: 10.0.22621.1635
C:\Windows\SYSTEM32\powrprof.dll:powrprof.dll (00007FFCD99F0000), size: 315392 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\powrprof.dll', fileVersion: 10.0.22621.1344
C:\Windows\SYSTEM32\UMPDC.dll:UMPDC.dll (00007FFCD99D0000), size: 77824 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\UMPDC.dll', fileVersion: 10.0.22621.1
